shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,snr,luminosity_distance,chi_eff,chirp_mass_source,redshift
GW240527_150907-v1,1400857765.4,,,,,9.2,,,,
GW240527_183429-v1,1400870087.1,52.0,33.0,84.0,80.0,10.4,6400.0,0.31,34.5,0.96
GW240527_230910-v1,1400886568.4,27.6,10.0,37.5,36.4,11.0,1190.0,-0.03,14.07,0.23
GW240530_012417-v1,1401067476.0,14.1,8.3,22.6,21.6,10.8,1010.0,0.04,9.26,0.2
GW240531_040326-v1,1401163424.6,19.5,14.3,34.0,32.3,9.1,3000.0,0.14,14.4,0.52
GW240531_075248-v1,1401177186.5,33.0,22.6,55.6,53.1,9.3,4100.0,0.04,23.4,0.67
GW240601_061200-v1,1401257538.3,52.0,32.0,85.0,82.0,10.0,5100.0,-0.08,35.3,0.79
GW240601_231004-v1,1401318622.0,10.6,7.7,18.6,17.7,10.4,1270.0,0.09,7.8,0.25
GW240611_214835-v1,1402177733.7,,,,,8.9,,,,
GW240612_081540-v1,1402215358.7,55.0,38.0,92.0,88.0,9.9,6200.0,0.07,38.5,0.93
GW240613_011503-v1,1402276521.5,,,,,8.3,,,,
GW240615_113620-v1,1402486598.7,34.0,26.4,60.4,57.8,26.4,1560.0,-0.07,25.9,0.29
GW240615_160735-v1,1402502873.4,28.5,20.0,48.5,45.9,13.1,4000.0,0.28,20.4,0.65
GW240618_071627-v1,1402730205.2,65.0,40.0,105.0,101.0,8.7,5500.0,,43.0,0.84
GW240619_044535-v1,1402807553.5,,,,,9.3,,,,
GW240619_212357-v1,1402867455.4,,,,,8.5,,,,
GW240620_094631-v1,1402912009.7,,,,,8.6,,,,
GW240621_103457-v1,1403001315.5,,,,,8.6,,,,
GW240621_195059-v1,1403034677.4,36.8,29.7,66.0,62.9,28.2,1210.0,,28.4,0.23
GW240621_200935-v1,1403035793.5,41.6,31.6,73.0,70.0,10.7,4800.0,-0.09,31.1,0.75
GW240621_214041-v1,1403041259.7,45.0,32.0,76.0,73.0,7.9,6800.0,,32.1,1.0
